label,conductor,delta,rank,a_invariants_raw
402d1,402,-21100176,1,"[1, 0, 1, -145, 692]"
404a1,404,25856,1,"[0, 0, 0, -8, 4]"
404b1,404,25856,0,"[0, 1, 0, -69, 199]"
405a1,405,10125,0,"[0, 0, 1, -12, 15]"
405b1,405,3645,1,"[0, 0, 1, -18, 29]"
405c1,405,-405,1,"[1, -1, 0, 0, 1]"
405d1,405,-295245,1,"[1, -1, 1, -2, -26]"
4050,405,295245,0,"[0, 0, 1, -27, 47]"
405f1,405,405,1,"[0, 0, 1, -3, -2]"
406a1,406,-295386112,1,"[1, -1, 0, -302, 2260]"
406b1,406,-19120976,1,"[1, 0, 1, -15, 210]"
406c1,406,-363776,1,"[1, 1, 1, -102, 355]"
406d1,406,-9.26331E+11,0,"[1, 1, 0, -2124, -60592]"
408a1,408,156672,0,"[0, 1, 0, -48, -144]"
408b1,408,39168,0,"[0, 1, 0, -52, 128]"
408c1,408,-9814051584,0,"[0, -1, 0, 511, -1899]"
408d1,408,-1057536,1,"[0, 1, 0, -17, 51]"
410a1,410,65600,1,"[1, -1, 0, -14, 20]"
410b1,410,17196646400,0,"[1, -1, 1, -1387, -18501]"
410c1,410,10250000,0,"[1, 0, 1, -168, 806]"
410d1,410,262400,1,"[1, 0, 0, -16, 0]"
414a1,414,-195570288,0,"[1, -1, 1, -320, -2221]"
414b1,414,-603612,0,"[1, -1, 1, -14, -39]"
414c1,414,-2414448,1,"[1, -1, 0, 27, -59]"
